quarter,gdp_bn,pce_bn,gpdi_bn,exports_bn,imports_bn,gvt_cons_exp_nom_bn,gvt_ginv_nom_bn,gvt_cons_real_bn,pce_dur_bn,pce_nondur_bn,pce_services_bn,defl_gov,defl_pce,defl_pce_dur,defl_nondur,defl_services,gvt_cons_exp_bn,fed_exc_tax_bn,state_sales_tax_bn,state_other_tax_bn,cons_fc_dur_bn,curr_cost_ns_bn,non_inst_pop,hours_worked
1980-01-01,6837.6,4277.9,933.1,399.4,440.8,433.1,135.7,1741.2,232.1,559.9,910.3,32.666,39.793,101.455,44.777,30.792,568.8,20.4,52.6,14.2,406.75,990.9,144647327,48436565272.4022
1980-04-01,6696.8,4181.5,853.8,406.9,408.8,453.9,134.7,1744.6,211.9,565.9,926.9,33.735,40.768,103.853,45.875,31.552,588.5,26.6,52,14.7,420.968,1060.8,145181160,47537237982.4581
1980-07-01,6688.8,4227.4,797.4,406,379.3,457.8,134.4,1720.9,225.4,576.5,961.9,34.411,41.723,105.751,46.849,32.371,592.2,28.9,54.1,15.2,435.363,1102.4,145734993,47473197699.9489
1980-10-01,6813.5,4284.5,871.7,403.6,399.7,469.9,139,1720.5,236.2,591.3,1004.4,35.391,42.756,107.572,47.86,33.292,608.9,30,55.8,15.8,450.637,1175,146185826,48007596312.032
1981-01-01,6947,4298.8,952.4,411.2,416.7,486.9,146.4,1743.5,246,614,1025.6,36.326,43.866,108.949,49.27,34.192,633.4,42.8,58.2,16.7,465.542,1269.6,146683843.75,48675780648.2086
1981-04-01,6895.6,4299.2,912.9,413.4,417.4,503.4,145.3,1746.9,240.9,622.8,1053.7,37.134,44.602,111.006,49.755,34.891,648.7,43.5,58.3,17.9,480.431,1377,147137194.833333,47930423075.1888
1981-07-01,6978.1,4319,964.4,404.6,412.6,512.1,145.7,1740.8,251.9,629.1,1077,37.785,45.336,112.642,50.145,35.657,657.8,40.3,59.4,18.5,494.517,1522.3,147573879.25,48535012455.1252
1981-10-01,6902.1,4289.5,930.4,406.4,424.4,525.7,152,1763,236.8,635.7,1101.9,38.442,46.03,114.095,50.476,36.402,677.7,38.8,59.2,18.4,508.426,1652.7,148008230.333333,48058132160.1224
1982-01-01,6794.9,4321.1,842.4,388.8,412.3,537.9,150.2,1761,246.4,639.9,1127.9,39.074,46.612,115.032,50.712,37.065,688.1,34.4,60.1,18.5,521.926,1800.3,148399992.416667,47367179592.3874
1982-04-01,6825.9,4334.3,841.8,391.1,405.5,546.7,156.4,1767.7,249.2,638.7,1151.7,39.774,47.059,115.909,50.71,37.638,703.1,31.3,61.4,18.3,533.877,1925.7,148795087.833333,47641089961.1839
1982-07-01,6799.8,4363.3,834.1,373.8,424.3,559.9,157.4,1781.9,252.1,649.7,1183.8,40.258,47.8,116.308,51.364,38.392,717.3,31.7,62.4,18.4,542.749,2039.1,149171183.25,47390482563.7751
1982-10-01,6802.5,4439.7,769.6,356.6,407.7,573.6,163.8,1809.3,264.4,656.7,1224.5,40.752,48.326,116.634,51.391,39.104,737.4,32,64.1,18.7,549.301,2117.4,149564612,47220529907.2882
1983-01-01,6892.1,4483.6,796.3,362.4,417,583.1,164.7,1826.7,268.9,657,1258.7,40.939,48.724,117.459,51.246,39.669,747.9,33.4,65.8,18.8,552.307,2193.4,149917962.916667,47541426139.1128
1983-04-01,7049,4574.9,866.8,363.5,449.1,594,167.1,1841.8,289.6,673,1286.8,41.322,49.169,117.893,51.887,40.011,761.1,36.3,69.4,18.9,559.081,2302.2,150262313.833333,48052912545.1774
1983-07-01,7189.9,4657,921.1,368.9,484.1,607.7,174.5,1873.6,302.4,688.4,1329.1,41.75,49.815,118.539,52.278,40.724,782.2,35.8,71.7,19.5,566.169,2424.1,150616664.75,48917976024.3345
1983-10-01,7339.9,4731.2,1010.7,376.4,507.8,596.7,178.4,1843.6,319.3,696.5,1356.7,42.043,50.146,119.284,52.255,41.146,775.1,35.6,74.6,20.3,572.932,2529.3,150966682.333333,49630339606.596
1984-01-01,7483.4,4770.5,1108.3,384.2,548.6,609.9,184.1,1863.1,331.4,706.5,1380.3,42.618,50.69,119.33,52.866,41.676,794,36,77.7,21.1,582.246,2627.9,151576051,50469795022.2171
1984-04-01,7612.7,4837.3,1144.4,393.8,571.6,629.7,189.5,1903.6,341.3,722.4,1412.2,43.031,51.183,120.082,52.901,42.308,819.1,35.3,80.3,21.6,591.493,2718,151905419.666667,51314645670.4805
1984-07-01,7686.1,4873.2,1169.1,402.5,586.4,642,193.8,1919,342.1,724.6,1446.9,43.549,51.579,120.328,53.021,42.809,835.7,35.2,80.8,22,603.176,2833.8,152236121.666667,51526731518.4129
1984-10-01,7749.2,4936.3,1154,410.7,603.6,657.4,205.4,1959.3,353.8,732.8,1475.2,44.034,51.897,120.555,53.213,43.171,862.8,35,83.5,22.3,616.669,2991.1,152611823.666667,51742172597.5605
1985-01-01,7824.2,5020.2,1122.3,411.8,590.3,667.3,208.3,1980.6,368,742.4,1525.6,44.207,52.508,121.172,53.582,43.852,875.6,34.1,85.2,22.9,623.649,3201.8,152872709.083333,52139783407.5185
1985-04-01,7893.1,5066.3,1141.4,410.9,619.3,682.1,218.4,2024.6,373.3,752.8,1555.8,44.479,52.934,121.453,53.911,44.311,900.5,34,87.2,23,634.561,3364.3,153181261.166667,52297552091.1558
1985-07-01,8013.7,5162.5,1133.7,404.9,613.3,701.1,226.3,2070.7,396.5,760.5,1597.2,44.784,53.349,121.24,54.02,44.888,927.4,34.8,89.3,23.8,645.165,3527.5,153491479.916667,52616569875.8203
1985-10-01,8073.2,5173.6,1175.5,417,637.3,712,226.6,2079.3,383.8,773.3,1622.3,45.14,53.722,121.543,54.448,45.231,938.6,32.8,89.7,24.1,657.178,3679.2,153871698.666667,53210739000.3099
1986-01-01,8148.6,5218.9,1175.1,430,636.7,717.8,229,2095.7,391.6,779.3,1652.8,45.178,54.105,121.554,54.177,45.892,946.8,31.7,91,24.3,668.189,3899.5,154724885.333333,53426545118.0977
1986-04-01,8185.3,5275.7,1154.6,434.6,663.8,733.1,234.4,2139.4,407.3,767.5,1676.7,45.224,54.049,122.103,52.886,46.277,967.5,29.5,92,23.8,679.916,4107.8,155048072,53758319485.872
1986-07-01,8263.6,5369,1123.5,444.6,682.2,747.9,245.7,2186,445.7,771,1700.5,45.453,54.334,123.119,53.023,46.542,993.6,29.5,95.5,23,690.953,4300.5,155422592,54041380074.8817
1986-10-01,8308,5402,1126.9,461.2,687.5,753.2,243.2,2177,441.1,779,1732.7,45.769,54.662,123.818,53.138,46.909,996.4,29.4,96.3,23.5,702.121,4476,155814778.666667,54476272302.8451
1987-01-01,8369.9,5407.4,1157.3,461.6,683.4,761,247.7,2189.7,418.5,797.4,1767.6,46.064,55.175,124.871,54.321,47.091,1008.7,29.2,96.8,24.2,712.6,4578.6,156277054.916667,55042074233.521
1987-04-01,8460.2,5481.2,1157.9,480.6,700.5,771.8,253.5,2206.7,439.1,812.3,1801.9,46.459,55.706,125.857,54.917,47.534,1025.2,30,99.9,24.8,723.77,4588.1,156657331.166667,54673291627.3263
1987-07-01,8533.6,5543.7,1158.1,501.5,714.2,777.9,258.3,2209,460.5,820.7,1836.2,46.907,56.232,126.764,55.438,48.009,1036.2,31,103,25.4,736.076,4586.7,156997940.75,56000718884.7811
1987-10-01,8680.2,5555.5,1237,520.2,730.6,796.9,259.1,2242.1,449.9,826.8,1874.2,47.099,56.718,127.286,55.783,48.527,1056,31.5,103.9,25.1,749.086,4723.3,157334217,56083716798.9042
1988-01-01,8725,5653.6,1177.6,549.1,727.2,803.4,253.5,2223.4,470.4,838.4,1923.1,47.534,57.165,127.07,55.963,49.123,1056.9,33.2,106.2,25.5,763.802,4848.9,157667216,56521035786.0577
1988-04-01,8839.6,5695.3,1205.7,564.5,718.8,812.2,258.2,2230.1,473.2,853.5,1965,47.999,57.797,127.777,56.525,49.752,1070.4,33.2,110.3,26.1,777.68,4941.2,157995215,57074462398.458
1988-07-01,8891.4,5745.9,1212.4,575.6,735.7,820.1,258.1,2230.3,470.4,870.8,2020.7,48.342,58.509,128.689,57.271,50.407,1078.2,33.8,110.8,25.8,791.371,5054.6,158352880.666667,57109021504.3244
1988-10-01,9009.9,5811.3,1230.9,593.2,758.2,846.1,263.8,2273.6,486.2,886.3,2062.1,48.817,59.101,129.647,57.692,51.01,1109.9,33.5,112.6,25.5,805.134,5236.5,158594546.333333,57445147117.0207
1989-01-01,9101.5,5838.2,1272.6,610.9,761.7,852.8,263.8,2263.6,486.5,902.5,2101.2,49.326,59.781,130.303,58.482,51.627,1116.6,33.8,115.3,26.5,818.428,5388.1,158952883.666667,57860219168.9586
1989-04-01,9171,5865.5,1260.3,637.6,765.3,878.6,267.2,2298.4,493.3,927.7,2132.7,49.852,60.588,130.409,60.026,52.191,1145.8,31.7,117.6,26.9,831.683,,159194221,58142114859.2493
1989-07-01,9238.9,5922.3,1249,644.2,764.3,889.5,275,2319.1,505.6,936.3,2167.5,50.216,60.946,130.703,59.977,52.696,1164.6,32.3,119.3,27.7,844.888,,159513225,58369014498.1351
1989-10-01,9257.1,5948,1239.7,653.9,778.1,904.9,275.6,2330.8,491.9,951.3,2210.5,50.649,61.427,131.132,60.258,53.239,1180.5,31.3,117.2,26.6,858.033,,159757895.666667,58712254529.3275
1990-01-01,9358.3,5998.1,1252.1,682.3,802.8,925.6,286.8,2368,515.4,974.2,2248.4,51.201,62.319,131.832,61.785,53.874,1212.5,32.6,126.6,28.7,870.021,,161556541.083333,59040343286.2518
1990-04-01,9392.3,6016.3,1252.4,690.8,801.4,942.4,288.3,2371.8,498.4,980.9,2304.2,51.891,62.886,131.846,62.14,54.548,1230.7,33,123,27.8,882.23,,161810519.833333,58379228874.161
1990-07-01,9398.5,6040.2,1228.2,696,798.2,951,291.6,2375.5,493.6,1003.1,2350,52.308,63.685,131.904,63.447,55.192,1242.6,33.7,126.4,27.3,895.014,,162112498.583333,59030490825.9207
1990-10-01,9312.9,5994.2,1159.5,702.1,776.8,973.7,294.7,2391.4,480.9,1018.8,2368.2,53.043,64.527,132.169,65.09,55.752,1268.5,34.5,126.3,29.1,906.865,,162500144,58568468095.2112
1991-01-01,9269.4,5971.7,1120.9,706.4,767.9,993.1,291.1,2405.7,471.7,1014.2,2387.7,53.382,64.866,133.298,64.765,56.254,1284.2,43.2,125.5,28.5,918.971,,162750839.416667,58084347175.3585
1991-04-01,9341.6,6021.2,1120.9,732.2,781.6,1000.6,296,2415.5,475.2,1021.8,2429.9,53.678,65.219,133.631,64.871,56.685,1296.6,45.2,125.6,27.7,928.946,,163042534.833333,58133921402.5663
1991-07-01,9388.8,6051.2,1143.1,749.5,803.6,1010.2,296,2408.7,484.3,1024.4,2464.5,54.231,65.661,134.125,64.928,57.244,1306.3,45.1,129.1,28.4,937.781,,163365230.25,57917978803.2743
1991-10-01,9421.6,6048.2,1183.6,766.4,821.3,1015.6,293.2,2391.1,477.5,1020.7,2501.9,54.736,66.136,134.414,65.255,57.768,1308.8,46.3,131.9,29.6,943.873,,163774925.666667,58030468976.9346
1992-01-01,9534.3,6161.4,1161.7,780.2,827.3,1026.9,299.5,2412.3,496.2,1037.7,2566.6,54.987,66.55,134.409,65.367,58.306,1326.4,45.9,133.6,29,948.169,,164016155.166667,58338450249.9106
1992-04-01,9637.7,6203.2,1227.4,780.6,840.9,1037.7,297.1,2407.6,501,1047.2,2607.5,55.441,66.992,134.774,65.692,58.777,1334.8,45.1,134.8,31.9,955.181,,164265718,57965623967.3051
1992-07-01,9733,6269.7,1237.2,797.2,854.1,1059.9,294.1,2422.9,512.1,1061,2653.8,55.883,67.419,134.883,66.165,59.196,1354,43.2,137,31.3,963.352,,164652947.5,58270904478.4369
1992-10-01,9834.5,6344.4,1274.9,801.2,874.6,1069.1,293.7,2422.7,523.1,1074.8,2709.3,56.251,67.889,135.09,66.358,59.769,1362.8,45.7,138.7,32,974.276,,165068843.666667,58445344611.7957
1993-01-01,9851,6368.8,1305,803,893.5,1063.3,288.5,2392.6,527.9,1079.1,2742.5,56.5,68.294,135.015,66.558,60.272,1351.8,43.5,139.9,31.7,986.166,,165390991.833333,58876859795.8495
1993-04-01,9908.3,6426.7,1312.5,812.6,912,1065.9,293.2,2392.8,547.8,1086.3,2784.4,56.798,68.753,135.723,66.474,60.885,1359.1,44.6,142,32.5,997.536,,165712140,59296043079.2951
1993-07-01,9955.6,6498.2,1303.6,810.5,924,1076.7,290.7,2396.2,556.6,1092.5,2838,57.065,69.052,136.381,66.198,61.346,1367.4,44.9,145.4,34.5,1008.696,,166115621.5,59511035122.8516
1993-10-01,10091,6555.3,1372.1,836.6,961.1,1086.2,295.2,2404.7,573.8,1105.3,2873.6,57.446,69.45,137.281,66.508,61.715,1381.4,53.2,147.5,33.8,1021.6,,166569436.333333,59970415150.2646
1994-01-01,10189,6630.3,1424.4,844.8,983.5,1089.7,283.7,2374.9,588.8,1116.8,2915.6,57.827,69.699,137.6,66.316,62.105,1373.4,54.9,150,34.6,1033.285,,166915449.75,59699285370.9029
1994-04-01,10327,6681.8,1494.4,873.3,1020.1,1099.1,290.3,2386.7,598.7,1128.1,2956.3,58.214,70.088,138.424,66.458,62.528,1389.4,57.4,154.3,35.8,1046.97,,167240129.833333,60925102478.0376
1994-07-01,10387.4,6732.8,1470,906,1048.8,1121.4,302.1,2426.9,609.3,1149.6,2993.9,58.652,70.591,139.405,67.146,62.903,1423.4,58.5,156.9,35.8,1062.27,,167585476.583333,60983759811.3438
1994-10-01,10506.4,6805.6,1530.5,926.9,1078.3,1122.3,300.6,2405.8,631.8,1163,3031.9,59.146,70.923,139.649,67.216,63.325,1422.9,59.4,160.4,35.6,1079.907,,168049823.333333,61114031914.1172
1995-01-01,10543.6,6822.5,1546.5,944.8,1102,1130.6,307,2414.2,621.3,1166.9,3074.3,59.547,71.27,140.215,67.197,63.772,1437.6,56.6,162.4,37.1,1099.15,,168170090.166667,61785401539.5382
1995-04-01,10575.1,6882.3,1514.4,958,1112.5,1142.5,310.4,2422.3,626.9,1177,3129.7,59.979,71.685,140.068,67.449,64.282,1452.9,55.8,163.2,36.8,1115.753,,168468023.666667,61041948610.456
1995-07-01,10665.1,6944.7,1505.4,999.5,1116.3,1148.5,307.1,2416,642.5,1183.7,3172.4,60.252,71.978,139.621,67.594,64.686,1455.7,55.8,165,37,1130.762,,168847623.833333,61943637122.8003
1995-10-01,10737.5,6993.1,1542.8,1013.7,1130.6,1145.3,306.3,2390.7,652.2,1191.7,3211.8,60.718,72.294,139.312,67.699,65.126,1451.6,54.8,167.3,37.1,1143.859,,169271557.333333,62003022825.5895
1996-01-01,10817.9,7057.6,1567.6,1025.9,1167.3,1154.5,316.8,2406.5,659.8,1211.2,3259.6,61.139,72.696,139.418,68.365,65.448,1471.3,52.5,171.1,37.5,1155.575,,169599598.5,61255743775.5525
1996-04-01,10998.3,7133.6,1642.9,1042.6,1193.4,1169.9,317.8,2436.4,676.3,1239.5,3304.6,61.059,73.182,138.499,69.079,65.973,1487.7,51.8,173.8,39.9,1167.56,,170101973,62245171063.4991
1996-07-01,11097,7176.8,1717.5,1051,1232.1,1175.7,321,2436.4,679.4,1246.5,3348.6,61.432,73.494,138.139,68.976,66.49,1496.7,52,174.8,39.4,1181.881,,170564680.833333,63151287095.9233
1996-10-01,11212.2,7233.9,1715.2,1116.6,1256.4,1191.5,324.2,2453.2,689.6,1268.3,3394.8,61.784,73.995,137.543,69.618,67.033,1515.7,58.2,177.9,40.4,1196.21,,171047388.666667,63491900582.7718
1997-01-01,11284.6,7310.2,1749.9,1137.8,1310.1,1196.7,319.3,2440.5,705.6,1281,3446.5,62.118,74.323,137.016,69.897,67.454,1516,53,180,40.8,1213.302,,171921432,63750011358.7327
1997-04-01,11472.1,7343.1,1857,1183.3,1354.1,1218.6,324,2472.1,696.6,1277.7,3497,62.398,74.509,135.7,69.686,67.928,1542.5,59.3,182.6,41.2,1231.224,,172379142,64499234900.7778
1997-07-01,11615.6,7468.2,1883,1210.7,1404,1223.8,331.5,2483.5,722.8,1297.3,3559.1,62.621,74.706,134.798,69.643,68.318,1555.2,60.1,185.8,41.3,1247.806,,172790185.333333,64583735948.3531
1997-10-01,11715.4,7557.4,1911,1209,1434.2,1243.1,331.7,2496,737.2,1307.8,3618.6,63.092,74.941,134.055,69.717,68.708,1574.8,60.5,188.5,43,1264.973,,173289562,64758517160.8963
1998-01-01,11832.5,7633.9,1994.4,1214.6,1488,1236.8,331.2,2487.1,737.7,1306.7,3677,63.047,74.947,133.082,69.16,69.019,1568,59.2,190.5,44.2,1281.346,,173642036.666667,65215262342.7014
1998-04-01,11942,7768.3,1982.1,1201.2,1522.1,1262.6,341.1,2530.6,769.2,1319.9,3743.4,63.372,75.081,132.095,69.022,69.369,1603.7,59.6,192.6,44.3,1300.034,,174129953.333333,65033318779.7918
1998-07-01,12091.6,7869.6,2033,1195.6,1542.7,1273.1,354.2,2549.7,785,1334.8,3807,63.823,75.313,131.086,69.298,69.715,1627.3,60.7,197.3,44.1,1318.769,,174590163.333333,65653243019.2178
1998-10-01,12287,7983.3,2095.8,1239.9,1592.7,1297.9,349.5,2564.7,825.2,1355.2,3847.9,64.235,75.51,130.105,69.405,70.074,1647.5,61.3,199.4,42.9,1338.797,,175166367.333333,66044991345.8176
1999-01-01,12403.3,8060.8,2153.3,1238.3,1633.9,1312.3,357.1,2582.2,819.9,1384.9,3897.6,64.652,75.707,128.999,69.638,70.403,1669.4,62.1,202.3,45.3,1358.687,,175877584.666667,66218202102.3382
